item_name,avg_next_day_cooler,avg_next_day_hotter
Americano,-0.0465116279069767,0.176470588235294
"Apple Juice",-0.166666666666667,0.333333333333333
"Au Lait, Unknown",0.0,-0.142857142857143
"Cappuccino, Unknown",0.184782608695652,-0.156626506024096
"Cascara Fizz",-0.0769230769230769,0.1875
"Chemex Coffee",0.294117647058824,-0.185185185185185
"Drip Coffee",0.170212765957447,0.107142857142857
Espresso,-0.0576923076923077,0.421052631578947
Gibraltar,0.172413793103448,0.304347826086957
"Hot Chocolate",0.235294117647059,-0.111111111111111
Juice,,
"Kyoto Iced Coffee",,
Latte,0.4375,0.123595505617978
Macchiato,0.266666666666667,0.0909090909090909
Milk,,
Mocha,-0.192982456140351,0.25
"NOLA Carton",0.363636363636364,-0.0769230769230769
"New Orleans Iced Coffee (cup)",-0.241379310344828,-0.211764705882353
"S.O. Iced - 4 oz Oji",-0.5,1.1
"S.O. Iced Coffee",0.125,-0.0967741935483871
Shakerato,0.5,
"Sowden Au Lait",,
"Sparkling Water",0.166666666666667,-0.142857142857143
"Still Water",0.0,0.0
Tea,-0.0833333333333333,0.0909090909090909
